Plan,Rule,Severity,Implied status,Item,Requirement,Message
P-E008 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-006,R-ESC-01-006 is valid company content but does not apply to the RVA role.
P-E008 v1,V-HALLUCINATION,warning,Verified with Warning,P-E008-v1.M06.S01,,"12 room, 18 % is company policy, but not from the cited section."
P-E008 v1,V-HALLUCINATION,warning,Verified with Warning,P-E008-v1.M07.S01,,"4 day is company policy, but not from the cited section."
P-E008 v1,V-HALLUCINATION,warning,Verified with Warning,P-E008-v1.M08.S01,,Scenario detail 45 day is not from the sources (illustrative).
P-E008 v1,V-HALLUCINATION,warning,Verified with Warning,P-E008-v1.M04.S01,,"09:00 is company policy, but not from the cited section."
P-E008 v1,V-SOURCE,warning,Verified with Warning,,R-LVP-01-004,"R-LVP-01-004 is cited as LVP-01 §3.4, but the clause is in LVP-01 §3.3."
P-E007 v1,V-QUIZ-SOURCE,error,Source Support Missing,P-E007-v1.M04.Q04,,The correct answer 'Lock your workstation.' is not supported by the cited section.
P-E007 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-003,R-ESC-01-003 is valid company content but does not apply to the SEE role.
P-E007 v1,V-ROLE,error,Unsupported Requirement,,R-REV-01-001,R-REV-01-001 is valid company content but does not apply to the SEE role.
P-E007 v1,V-ROLE,error,Unsupported Requirement,,R-REV-01-003,R-REV-01-003 is valid company content but does not apply to the SEE role.
P-E007 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-004,R-ESC-01-004 is valid company content but does not apply to the SEE role.
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M06.T01,,"15 room is company policy, but not from the cited section."
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M07.S01,,"usd 150 is company policy, but not from the cited section."
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M06.S01,,"12 room is company policy, but not from the cited section."
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M08.S01,,"24 kg is company policy, but not from the cited section."
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M05.S01,,"20 % is company policy, but not from the cited section."
P-E007 v1,V-HALLUCINATION,warning,Verified with Warning,P-E007-v1.M03.S01,,"20 day is company policy, but not from the cited section."
P-E007 v1,V-SOURCE,warning,Verified with Warning,,R-LVP-01-004,"R-LVP-01-004 is cited as LVP-01 §3.4, but the clause is in LVP-01 §3.3."
P-E007 v1,V-SOURCE,warning,Verified with Warning,,R-FIN-01-002,"R-FIN-01-002 is cited as FIN-01 §2.3, but the clause is in FIN-01 §2.4."
P-E011 v3,V-QUIZ-SOURCE,error,Source Support Missing,P-E011-v3.M06.Q04,,The correct answer 'Lock your workstation' is not supported by the cited section.
P-E011 v3,V-ROLE,error,Unsupported Requirement,,R-FLS-01-007,R-FLS-01-007 is valid company content but does not apply to the DMG role.
P-E011 v3,V-ROLE,error,Unsupported Requirement,,R-SOP-FO-01-008,R-SOP-FO-01-008 is valid company content but does not apply to the DMG role.
P-E011 v3,V-ROLE,error,Unsupported Requirement,,R-PCH-01-008,R-PCH-01-008 is valid company content but does not apply to the DMG role.
P-E011 v3,V-ROLE,error,Unsupported Requirement,,R-SOP-FO-02-006,R-SOP-FO-02-006 is valid company content but does not apply to the DMG role.
P-E011 v3,V-HALLUCINATION,warning,Verified with Warning,P-E011-v3.M05.S01,,Scenario detail 21:00 is not from the sources (illustrative).
P-E011 v3,V-HALLUCINATION,warning,Verified with Warning,P-E011-v3.M07.S01,,"usd 150 is company policy, but not from the cited section."
P-E011 v3,V-HALLUCINATION,warning,Verified with Warning,P-E011-v3.M08.S01,,"3 day is company policy, but not from the cited section."
P-E011 v3,V-HALLUCINATION,warning,Verified with Warning,P-E011-v3.M04.S01,,"8 day is company policy, but not from the cited section."
P-E011 v3,V-HALLUCINATION,warning,Verified with Warning,P-E011-v3.M02.S01,,"usd 1200, usd 6000 is company policy, but not from the cited section."
P-E011 v3,V-QUIZ-SOURCE,warning,Verified with Warning,P-E011-v3.M04.Q01,,Wrong option 'Monthly for all six months' matches the source better than the marked answer.
P-E011 v3,V-SOURCE,warning,Verified with Warning,,R-LVP-01-004,"R-LVP-01-004 is cited as LVP-01 §3.4, but the clause is in LVP-01 §3.3."
