Plan,Rule,Severity,Implied status,Item,Requirement,Message
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-007,R-HRP-01-007 is scheduled for D90; the source suggests D30.
P-E001 v1,V-STAGE,info,Verified,,R-LVP-01-001,R-LVP-01-001 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-002,R-GDP-01-002 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-003,R-GDP-01-003 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-005,R-GDP-01-005 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-007,R-GDP-01-007 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-008,R-GDP-01-008 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-GDP-01-009,R-GDP-01-009 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-007,R-ISP-01-007 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-FLS-01-007,R-FLS-01-007 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-001,R-SOP-FO-01-001 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-002,R-SOP-FO-01-002 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-002,R-ISP-01-002 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-006,R-SOP-FO-01-006 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-003,R-SOP-FO-01-003 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-004,R-SOP-FO-01-004 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-FO-01-005,R-SOP-FO-01-005 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ROL-01-001,R-ROL-01-001 is scheduled for W2; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ROL-01-002,R-ROL-01-002 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-FAQ-01-004,R-FAQ-01-004 is scheduled for W1; the source suggests D30.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-GR-01-002,R-SOP-GR-01-002 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-GR-01-003,R-SOP-GR-01-003 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-GR-01-006,R-SOP-GR-01-006 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-FLS-01-002,R-FLS-01-002 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-FLS-01-003,R-FLS-01-003 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-001,R-HRP-01-001 is scheduled for D30; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-002,R-HRP-01-002 is scheduled for D30; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-003,R-HRP-01-003 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-005,R-HRP-01-005 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-HRP-01-006,R-HRP-01-006 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ITA-01-001,R-ITA-01-001 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ITA-01-002,R-ITA-01-002 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ITA-01-004,R-ITA-01-004 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ITA-01-005,R-ITA-01-005 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-COC-01-002,R-COC-01-002 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-COC-01-003,R-COC-01-003 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-COC-01-004,R-COC-01-004 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-COC-01-007,R-COC-01-007 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-ESC-01-005,R-ESC-01-005 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-MEM-01-002,R-MEM-01-002 is scheduled for D1; the source suggests D30.
P-E001 v1,V-STAGE,info,Verified,,R-PCH-01-001,R-PCH-01-001 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-PCH-01-004,R-PCH-01-004 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-PCH-01-005,R-PCH-01-005 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-PCH-01-009,R-PCH-01-009 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-HK-02-001,R-SOP-HK-02-001 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-HK-02-002,R-SOP-HK-02-002 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-HK-02-004,R-SOP-HK-02-004 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-SOP-HK-02-005,R-SOP-HK-02-005 is scheduled for W2; the source suggests D30.
P-E001 v1,V-STAGE,info,Verified,,R-ITA-01-006,R-ITA-01-006 is scheduled for W1; the source suggests D30.
P-E001 v1,V-STAGE,info,Verified,,R-LVP-01-004,R-LVP-01-004 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-LVP-01-005,R-LVP-01-005 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-HSP-01-002,R-HSP-01-002 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-HSP-01-004,R-HSP-01-004 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ESC-01-001,R-ESC-01-001 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-REV-01-002,R-REV-01-002 is scheduled for W1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-CMP-01-005,R-CMP-01-005 is scheduled for D30; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-HBK-01-003,R-HBK-01-003 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-FAQ-01-002,R-FAQ-01-002 is scheduled for D1; the source suggests W2.
P-E001 v1,V-STAGE,info,Verified,,R-COC-01-006,R-COC-01-006 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-001,R-ISP-01-001 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-003,R-ISP-01-003 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-004,R-ISP-01-004 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-005,R-ISP-01-005 is scheduled for D1; the source suggests W1.
P-E001 v1,V-STAGE,info,Verified,,R-ISP-01-008,R-ISP-01-008 is scheduled for D1; the source suggests W1.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-SOP-GR-01-001,R-SOP-GR-01-001 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-FLS-01-004,R-FLS-01-004 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-HRP-01-001,R-HRP-01-001 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-HSP-01-003,R-HSP-01-003 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-ISP-01-001,R-ISP-01-001 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CHECKLIST,warning,Verified with Warning,,R-ISP-01-003,R-ISP-01-003 asks the employee to complete or acknowledge something but has no checklist item.
P-E001 v1,V-CONTRADICTION,warning,Verified with Warning,,R-ESC-01-001,R-ESC-01-001 applies because of the life-safety rule (CF-0003): Life-safety topic: the stricter rule in ESC-01 v2.0 (SOP / Procedure) applies even though the other source ranks higher (deadline: 15 vs 480 minutes). The document owner should align the texts.
P-E001 v1,V-HALLUCINATION,warning,Verified with Warning,P-E001-v1.M08.S01,,Scenario detail 45 minute is not from the sources (illustrative).
P-E001 v1,V-HALLUCINATION,warning,Verified with Warning,P-E001-v1.M04.S01,,"Scenario detail 05:30, 08:00 is not from the sources (illustrative)."
P-E001 v1,V-MANDATORY,warning,Partially Verified,,R-MEM-01-002,GenAI marked R-MEM-01-002 as mandatory; the matrix says optional.
P-E001 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-001,"R-SOP-HK-02-001 comes from SOP-HK-02, which has expired with no replacement."
P-E001 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-003,"R-SOP-HK-02-003 comes from SOP-HK-02, which has expired with no replacement."
P-E001 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-005,"R-SOP-HK-02-005 comes from SOP-HK-02, which has expired with no replacement."
P-E001 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-004,"R-SOP-HK-02-004 comes from SOP-HK-02, which has expired with no replacement."
P-E001 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-002,"R-SOP-HK-02-002 comes from SOP-HK-02, which has expired with no replacement."
P-E001 v1,V-QUIZ-SOURCE,warning,Verified with Warning,P-E001-v1.M04.Q01,,Wrong option 'Every month for six months' matches the source better than the marked answer.
P-E001 v1,V-SOURCE,warning,Verified with Warning,,R-LVP-01-004,"R-LVP-01-004 is cited as LVP-01 §3.4, but the clause is in LVP-01 §3.3."
P-E001 v1,V-STAGE,warning,Verified with Warning,,R-LVP-01-003,R-LVP-01-003 is scheduled for W1; the source states D1.
P-E001 v1,V-STAGE,warning,Verified with Warning,,,52 requirements are placed on Day 1 (limit 12).
P-E003 v1,V-COVERAGE,error,Requirement Missing,,R-CMP-01-006,Mandatory requirement R-CMP-01-006 is not in the plan.
P-E003 v1,V-COVERAGE,error,Requirement Missing,,R-FLS-01-005,Mandatory requirement R-FLS-01-005 is not in the plan.
P-E003 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-005,Mandatory requirement R-FIN-01-005 is not in the plan.
P-E003 v1,V-ROLE,error,Unsupported Requirement,,R-FLS-01-007,R-FLS-01-007 is valid company content but does not apply to the GRE role.
P-E003 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-003,R-ESC-01-003 is valid company content but does not apply to the GRE role.
P-E003 v1,V-ROLE,error,Unsupported Requirement,,R-SOP-GR-01-004,R-SOP-GR-01-004 is valid company content but does not apply to the GRE role.
P-E003 v1,V-ROLE,error,Unsupported Requirement,,R-ESC-01-004,R-ESC-01-004 is valid company content but does not apply to the GRE role.
P-E003 v1,V-STAGE,info,Verified,,R-FLS-01-002,R-FLS-01-002 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-FLS-01-003,R-FLS-01-003 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-COC-01-006,R-COC-01-006 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-001,R-ISP-01-001 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-002,R-ISP-01-002 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-003,R-ISP-01-003 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-004,R-ISP-01-004 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-006,R-ISP-01-006 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-008,R-ISP-01-008 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ITA-01-001,R-ITA-01-001 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ITA-01-002,R-ITA-01-002 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-ITA-01-004,R-ITA-01-004 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-002,R-GDP-01-002 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-008,R-GDP-01-008 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-009,R-GDP-01-009 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-007,R-ISP-01-007 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-003,R-GDP-01-003 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-005,R-GDP-01-005 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-GDP-01-006,R-GDP-01-006 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-FAQ-01-004,R-FAQ-01-004 is scheduled for W2; the source suggests D30.
P-E003 v1,V-STAGE,info,Verified,,R-ROL-01-003,R-ROL-01-003 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ROL-01-004,R-ROL-01-004 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-FAQ-01-002,R-FAQ-01-002 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-ESC-01-001,R-ESC-01-001 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HRP-01-002,R-HRP-01-002 is scheduled for D30; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HRP-01-003,R-HRP-01-003 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-HRP-01-005,R-HRP-01-005 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-HRP-01-007,R-HRP-01-007 is scheduled for D90; the source suggests D30.
P-E003 v1,V-STAGE,info,Verified,,R-HBK-01-003,R-HBK-01-003 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-GR-01-002,R-SOP-GR-01-002 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-GR-01-003,R-SOP-GR-01-003 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-GR-01-005,R-SOP-GR-01-005 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-GR-01-006,R-SOP-GR-01-006 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ISP-01-005,R-ISP-01-005 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-ITA-01-005,R-ITA-01-005 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-HSP-01-002,R-HSP-01-002 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HSP-01-003,R-HSP-01-003 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HSP-01-004,R-HSP-01-004 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HSP-01-005,R-HSP-01-005 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-HSP-01-007,R-HSP-01-007 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-COC-01-002,R-COC-01-002 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-COC-01-003,R-COC-01-003 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-COC-01-004,R-COC-01-004 is scheduled for D1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-COC-01-007,R-COC-01-007 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-HRP-01-006,R-HRP-01-006 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-ESC-01-005,R-ESC-01-005 is scheduled for D1; the source suggests W1.
P-E003 v1,V-STAGE,info,Verified,,R-MEM-01-002,R-MEM-01-002 is scheduled for D1; the source suggests D30.
P-E003 v1,V-STAGE,info,Verified,,R-CMP-01-005,R-CMP-01-005 is scheduled for D30; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-LVP-01-001,R-LVP-01-001 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-LVP-01-002,R-LVP-01-002 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-LVP-01-004,R-LVP-01-004 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-LVP-01-005,R-LVP-01-005 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-HK-02-001,R-SOP-HK-02-001 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-HK-02-002,R-SOP-HK-02-002 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-HK-02-004,R-SOP-HK-02-004 is scheduled for W1; the source suggests W2.
P-E003 v1,V-STAGE,info,Verified,,R-SOP-HK-02-005,R-SOP-HK-02-005 is scheduled for W2; the source suggests D30.
P-E003 v1,V-STAGE,info,Verified,,R-ITA-01-006,R-ITA-01-006 is scheduled for W1; the source suggests D30.
P-E003 v1,V-CHECKLIST,warning,Verified with Warning,,R-ISP-01-003,R-ISP-01-003 asks the employee to complete or acknowledge something but has no checklist item.
P-E003 v1,V-CHECKLIST,warning,Verified with Warning,,R-FLS-01-004,R-FLS-01-004 asks the employee to complete or acknowledge something but has no checklist item.
P-E003 v1,V-CHECKLIST,warning,Verified with Warning,,R-ROL-01-003,R-ROL-01-003 asks the employee to complete or acknowledge something but has no checklist item.
P-E003 v1,V-CHECKLIST,warning,Verified with Warning,,R-ISP-01-001,R-ISP-01-001 asks the employee to complete or acknowledge something but has no checklist item.
P-E003 v1,V-CONTRADICTION,warning,Verified with Warning,,R-ESC-01-001,R-ESC-01-001 applies because of the life-safety rule (CF-0003): Life-safety topic: the stricter rule in ESC-01 v2.0 (SOP / Procedure) applies even though the other source ranks higher (deadline: 15 vs 480 minutes). The document owner should align the texts.
P-E003 v1,V-HALLUCINATION,warning,Verified with Warning,P-E003-v1.M04.S01,,Scenario detail 20:30 is not from the sources (illustrative).
P-E003 v1,V-HALLUCINATION,warning,Verified with Warning,P-E003-v1.M03.S01,,"usd 100 is company policy, but not from the cited section."
P-E003 v1,V-HALLUCINATION,warning,Verified with Warning,P-E003-v1.M06.S01,,"usd 50 is company policy, but not from the cited section."
P-E003 v1,V-MANDATORY,warning,Partially Verified,,R-FAQ-01-004,GenAI marked R-FAQ-01-004 as mandatory; the matrix says optional.
P-E003 v1,V-MANDATORY,warning,Partially Verified,,R-COC-01-003,GenAI marked R-COC-01-003 as optional; the matrix says mandatory.
P-E003 v1,V-MANDATORY,warning,Partially Verified,,R-MEM-01-002,GenAI marked R-MEM-01-002 as mandatory; the matrix says optional.
P-E003 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-003,"R-SOP-HK-02-003 comes from SOP-HK-02, which has expired with no replacement."
P-E003 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-002,"R-SOP-HK-02-002 comes from SOP-HK-02, which has expired with no replacement."
P-E003 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-005,"R-SOP-HK-02-005 comes from SOP-HK-02, which has expired with no replacement."
P-E003 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-004,"R-SOP-HK-02-004 comes from SOP-HK-02, which has expired with no replacement."
P-E003 v1,V-OUTDATED,warning,Outdated Source,,R-SOP-HK-02-001,"R-SOP-HK-02-001 comes from SOP-HK-02, which has expired with no replacement."
P-E003 v1,V-SOURCE,warning,Verified with Warning,,R-LVP-01-004,"R-LVP-01-004 is cited as LVP-01 §3.4, but the clause is in LVP-01 §3.3."
P-E003 v1,V-SOURCE,warning,Verified with Warning,,R-ITA-01-002,"R-ITA-01-002 is cited as ITA-01 §2.2, but the clause is in ITA-01 §2.3."
P-E003 v1,V-STAGE,warning,Verified with Warning,,R-LVP-01-003,R-LVP-01-003 is scheduled for W1; the source states D1.
P-E003 v1,V-STAGE,warning,Verified with Warning,,,45 requirements are placed on Day 1 (limit 12).
P-E003 v1,V-STAGE,warning,Verified with Warning,,R-FIN-01-004,R-FIN-01-004 is scheduled for W1; the source states D30.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-002,Mandatory requirement R-FIN-01-002 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-001,Mandatory requirement R-FIN-01-001 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-003,Mandatory requirement R-FIN-01-003 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-FIN-01-005,Mandatory requirement R-FIN-01-005 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-FLS-01-005,Mandatory requirement R-FLS-01-005 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-HSP-01-005,Mandatory requirement R-HSP-01-005 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-HSP-01-007,Mandatory requirement R-HSP-01-007 is not in the plan.
P-E005 v1,V-COVERAGE,error,Requirement Missing,,R-CMP-01-006,Mandatory requirement R-CMP-01-006 is not in the plan.
P-E005 v1,V-REQ-ID,error,Unsupported Requirement,P-E005-v1.M03.O02,HSP-01,Item cites unknown requirement HSP-01.
P-E005 v1,V-ROLE,error,Unsupported Requirement,,R-PCH-01-008,R-PCH-01-008 is valid company content but does not apply to the FBA role.
P-E005 v1,V-STAGE,info,Verified,,R-HRP-01-007,R-HRP-01-007 is scheduled for D90; the source suggests D30.
P-E005 v1,V-STAGE,info,Verified,,R-ROL-01-007,R-ROL-01-007 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-HBK-01-003,R-HBK-01-003 is scheduled for D1; the source suggests W2.
P-E005 v1,V-STAGE,info,Verified,,R-COC-01-002,R-COC-01-002 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-COC-01-003,R-COC-01-003 is scheduled for D30; the source suggests W2.
P-E005 v1,V-STAGE,info,Verified,,R-ESC-01-005,R-ESC-01-005 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-MEM-01-002,R-MEM-01-002 is scheduled for W1; the source suggests D30.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-002,R-GDP-01-002 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-003,R-GDP-01-003 is scheduled for D30; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-004,R-GDP-01-004 is scheduled for D30; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-005,R-GDP-01-005 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-006,R-GDP-01-006 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-007,R-GDP-01-007 is scheduled for D30; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-008,R-GDP-01-008 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-GDP-01-009,R-GDP-01-009 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-FLS-01-002,R-FLS-01-002 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-FLS-01-003,R-FLS-01-003 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-HSP-01-002,R-HSP-01-002 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-HSP-01-004,R-HSP-01-004 is scheduled for D1; the source suggests W1.
P-E005 v1,V-STAGE,info,Verified,,R-FAQ-01-002,R-FAQ-01-002 is scheduled for D1; the source suggests W2.
