req_id,doc_id,section,req_type,mandatory,applies_to,condition,priority,due_stage,competency,assessment,prerequisites,clause_text,case_refs
R-LVP-004,LVP-01,3.3,Must Know,Y,ALL,,Medium,W2,HR Essentials,Quiz,,"Annual leave will not be approved during property blackout dates published by the General Manager, except in documented emergencies.",
R-LVP-005,LVP-01,4.2,Must Know,Y,ALL,,Medium,W2,HR Essentials,Quiz,,"Sick leave of more than two consecutive days must be supported by a medical certificate submitted within 48 hours of return.",
R-COC-001,COC-01,1.3,Must Acknowledge,Y,ALL,,High,D1,Workplace Conduct,Acknowledgement,,"All employees must sign the Code of Conduct declaration before their first shift.",
R-COC-002,COC-01,2.1,Must Know,Y,ALL,,High,W1,Workplace Conduct,Scenario,,"Harassment, discrimination or bullying of guests or colleagues is prohibited and must be reported through the Speak Up line or to Human Resources.",
R-COC-003,COC-01,3.2,Must Know,Y,ALL,,Medium,W1,Workplace Conduct,Quiz,,"Employees may accept unsolicited gifts from guests up to a value of USD 25; any gift above this value must be declared to the Duty Manager within 24 hours.",C13
R-COC-004,COC-01,4.1,Must Know,Y,FOA;GRE;HKS;FBA;SEE;RVA;FNA;HRE;DMG,,Medium,D1,Workplace Conduct,Checklist,,"Employees must wear the full Aurelle uniform and name badge while on duty, following the grooming standard in Annex A.",
R-COC-005,COC-01,4.4,Must Know,Y,MTT,,Medium,D1,Workplace Conduct,Checklist,,"Maintenance Technicians are exempt from the uniform standard in Section 4.1 and must instead wear the engineering workwear and PPE required by HSP-01.",EX01
R-COC-006,COC-01,5.1,Must Know,Y,ALL,,High,W1,Workplace Conduct,Quiz,,"Employees must not post photographs of guests, guest rooms or back-of-house areas on personal social media.",
R-COC-007,COC-01,6.3,Must Know,Y,ALL,,Medium,W2,Workplace Conduct,Quiz,,"Conflicts of interest, including family relationships with suppliers, must be declared to Human Resources in writing.",
R-ISP-001,ISP-01,2.1,Must Complete,Y,ALL,,High,W1,Information Security,Quiz,,"All employees must complete the Information Security Basics e-learning module before being granted access to any Aurelle system.",P1;P2;DUP04
R-ISP-002,ISP-01,3.1,Must Know,Y,ALL,,High,W1,Information Security,Quiz,R-ISP-001,"Passwords must be at least 12 characters long and must be changed immediately if compromise is suspected.",V02;C10
R-ISP-003,ISP-01,3.3,Must Complete,Y,ALL,,High,W1,Information Security,Checklist,R-ISP-001,"Multi-factor authentication must be enabled for email and for the Property Management System (PMS) before first use.",V02
R-ISP-004,ISP-01,3.5,Must Know,Y,ALL,,High,W1,Information Security,Quiz,,"Users must never share login credentials; every action in the PMS must be performed under the user's own account.",
R-ISP-005,ISP-01,4.2,Must Know,Y,ALL,,High,W1,Information Security,Quiz,R-ISP-001,"Workstations must be locked whenever they are left unattended.",
R-ISP-006,ISP-01,5.1,Must Know,Y,ALL,,High,W1,Information Security,Scenario,,"Suspected phishing emails must be reported using the Report Phishing button and must not be forwarded to colleagues.",
R-ISP-007,ISP-01,6.2,Must Know,Y,ALL,,High,W2,Information Security,Quiz,,"Guest or employee personal data must not be copied to USB drives or personal cloud storage.",
R-ISP-008,ISP-01,7.1,Must Know,Y,ALL,,High,W1,Information Security,Quiz,,"Any suspected security incident must be reported to the IT Service Desk immediately.",DUP03
R-GDP-001,GDP-01,2.1,Must Complete,Y,FOA;GRE;SEE;RVA;FNA;DMG,,High,W1,Data Privacy,Quiz,R-ISP-001,"Employees whose role involves guest personal data must complete Guest Data Privacy training within their first week.",P1;DUP02
R-GDP-002,GDP-01,3.1,Must Know,Y,FOA;GRE;SEE;RVA;FNA;DMG,,High,W1,Data Privacy,Quiz,R-GDP-001,"Guest personal data may only be accessed to deliver the guest's stay or for a documented business need.",
R-GDP-003,GDP-01,4.1,Must Know,Y,FOA;DMG,,High,W1,Data Privacy,Quiz,R-GDP-001,"A guest's passport or national ID may be scanned only into the PMS; paper copies are prohibited.",P1
R-GDP-004,GDP-01,4.2,Must Know,Y,FOA;DMG,,High,W1,Data Privacy,Quiz,R-GDP-003,"Scanned copies of guest identity documents must be permanently deleted from the PMS no later than 7 days after check-out.",V03
R-GDP-005,GDP-01,4.5,Must Know,Y,FOA;GRE;DMG,,High,W1,Data Privacy,Scenario,R-GDP-001,"Guest identity documents must never be received, photographed or stored on personal mobile phones or messaging apps.",V03;C05
R-GDP-006,GDP-01,5.1,Must Know,Y,FOA;GRE;DMG,,Medium,W2,Data Privacy,Scenario,R-GDP-001,"Room numbers and guest names must not be disclosed to callers or visitors; calls are to be connected to the room without confirming the guest's presence.",
R-GDP-007,GDP-01,5.4,Must Know,Y,FOA;GRE;DMG,Works at a Malaysia property,Medium,W2,Data Privacy,Quiz,R-GDP-001,"At Malaysian properties, guests must sign the Personal Data Consent Notice at check-in before any marketing preferences are recorded.",COND
R-GDP-008,GDP-01,6.1,Must Know,Y,HRE,,High,W1,Data Privacy,Quiz,R-ISP-001,"Employee personal files must be accessed only by Human Resources and stored in the HR system, never in shared drives.",P7
R-GDP-009,GDP-01,7.1,Must Know,Y,ALL,,High,W1,Data Privacy,Quiz,,"Any suspected loss or disclosure of guest data must be reported to the Duty Manager and IT within 1 hour of discovery.",DUP03
R-PCH-001,PCH-01,1.2,Must Complete,Y,FOA;FBA;FNA;DMG,,High,W1,Payment & Cash Handling,Quiz,R-ISP-001,"Employees who process payments must complete Payment Card Handling training before operating a payment terminal or cash drawer.",P2
R-PCH-002,PCH-01,2.1,Must Know,Y,FOA;FBA;FNA;DMG,,High,W1,Payment & Cash Handling,Quiz,R-PCH-001,"Guest payment cards must never be photocopied, photographed or written down; card details are to be entered only into the payment terminal.",V04
R-PCH-003,PCH-01,2.3,Must Know,Y,FOA;DMG,,High,W1,Payment & Cash Handling,Quiz,R-PCH-001,"Pre-authorisations must be taken through the terminal at check-in and must not exceed the room rate plus 20% for incidentals.",
R-PCH-004,PCH-01,3.1,Must Know,Y,FOA;FBA;DMG,,High,W1,Payment & Cash Handling,Quiz,R-PCH-001,"Each cashier is issued a personal cash float, which must not exceed USD 500 or local equivalent, and must sign for it at the start of the shift.",V04
R-PCH-005,PCH-01,3.4,Must Demonstrate,Y,FOA;FBA;DMG,,High,W2,Payment & Cash Handling,Practical,R-PCH-001;R-PCH-004,"At the end of every shift, the cash float must be counted by the cashier and a second employee and the result recorded on the Shift Close Form.",P2
R-PCH-006,PCH-01,3.6,Must Know,Y,FOA;FBA;FNA;DMG,,Medium,W2,Payment & Cash Handling,Quiz,,"Cash variances greater than USD 10 must be reported to Finance on the same day.",
R-PCH-007,PCH-01,4.1,Must Know,Y,FOA;FBA;DMG,,Medium,W2,Payment & Cash Handling,Quiz,,"Refunds must be processed to the original payment method; cash refunds of card payments are prohibited.",
R-PCH-008,PCH-01,5.2,Must Know,Y,FNA,,High,W2,Finance Operations,Quiz,,"Finance must reconcile the daily card settlement reports against the PMS by 12:00 on the following day.",
R-FLS-001,FLS-01,1.2,Must Complete,Y,ALL,,High,D1,Fire & Life Safety,Checklist,,"Every new employee must attend a fire and life safety orientation on their first day.",P3;DUP01
R-FLS-002,FLS-01,1.3,Must Know,Y,ALL,,High,D1,Fire & Life Safety,Quiz,R-FLS-001,"Employees must know the location of the fire assembly point and the two nearest fire exits for their work area.",
R-FLS-003,FLS-01,2.1,Must Know,Y,ALL,,High,D1,Fire & Life Safety,Quiz,R-FLS-001,"On hearing the fire alarm, employees must follow the RACE procedure (Rescue, Alarm, Contain, Evacuate) and must not use the lifts.",
R-FLS-004,FLS-01,3.1,Must Complete,Y,ALL,,High,D90,Fire & Life Safety,Checklist,,"All employees must participate in a fire drill every six months.",C06
R-FLS-005,FLS-01,3.4,Must Demonstrate,Y,HKS;MTT;DMG,,High,D30,Fire & Life Safety,Practical,R-FLS-001,"Supervisory and engineering staff must demonstrate correct use of a fire extinguisher using the PASS technique during practical training.",
R-FLS-006,FLS-01,4.2,Must Know,Y,DMG,,High,W1,Fire & Life Safety,Scenario,R-FLS-003,"The Duty Manager must carry the evacuation master key and the in-house guest list during every shift and lead the evacuation roll call.",
R-FLS-007,FLS-01,5.1,Must Know,Y,FOA;DMG,,High,W1,Fire & Life Safety,Quiz,,"Front Office must print the list of guests requiring evacuation assistance at the start of every shift.",
R-HSP-001,HSP-01,2.1,Must Know,Y,ALL,,High,W1,Health & Safety,Quiz,,"Workplace injuries, however minor, must be reported to the supervisor and recorded in the incident log before the end of the shift in which they occur.",C11
R-HSP-002,HSP-01,3.1,Must Know,Y,HKS;MTT,,High,W1,Health & Safety,Quiz,,"Safety footwear, gloves and eye protection must be worn when handling cleaning chemicals or using power tools.",
R-HSP-003,HSP-01,3.3,Must Complete,Y,HKS;MTT,,High,W2,Health & Safety,Quiz,R-HSP-002,"Employees who handle cleaning or pool chemicals must complete Chemical Handling training before first use.",
R-HSP-004,HSP-01,4.1,Must Know,Y,HKS;FBA;MTT,,Medium,W2,Health & Safety,Quiz,,"Loads heavier than 20 kg must be lifted by two people or moved with a trolley.",
R-HSP-005,HSP-01,5.2,Must Know,Y,FOA;GRE;DMG;MTT,,Medium,W2,Health & Safety,Quiz,,"The pool must be closed to guests at 20:00 and at any time a lifeguard is not on duty.",C12
R-HSP-006,HSP-01,5.4,Must Complete,Y,MTT,Assigned to pool duty,Medium,D30,Health & Safety,Checklist,,"Employees assigned to pool duty must hold a valid lifeguard certificate before their first pool shift.",COND
R-HSP-007,HSP-01,5.5,Must Demonstrate,Y,MTT,Assigned to pool duty,Medium,D30,Health & Safety,Practical,R-HSP-003,"Pool water chlorine and pH levels must be tested and logged every 4 hours during opening hours.",V11
R-FSA-001,FSA-01,1.2,Must Complete,Y,FBA,,High,W1,Food Safety,Quiz,,"F&B employees must complete Food Safety Level 1 training before handling open food.",P4
R-FSA-002,FSA-01,2.1,Must Know,Y,FBA,,High,W1,Food Safety,Quiz,R-FSA-001,"Chilled food must be stored at or below 4 °C, with temperatures checked and logged twice per shift.",V08;C08
R-FSA-003,FSA-01,2.3,Must Know,Y,FBA,,High,W1,Food Safety,Quiz,R-FSA-001,"Hot food held for service must be kept at or above 65 °C and discarded after 2 hours.",HP05
R-FSA-004,FSA-01,3.1,Must Know,Y,FBA,,High,W1,Food Safety,Scenario,R-FSA-001,"When a guest declares a food allergy, the server must check the Allergen Matrix for every dish ordered and inform the chef in person.",V08;P4
R-FSA-005,FSA-01,3.2,Must Demonstrate,Y,FBA,,High,W2,Food Safety,Practical,R-FSA-004,"Allergy-declared orders must be marked with a purple allergy flag on the kitchen ticket and served by the same server who took the order.",P4
R-FSA-006,FSA-01,4.1,Must Know,Y,FBA,,Medium,W2,Food Safety,Quiz,,"Food handlers must report symptoms of vomiting or diarrhoea and must not work with food until 48 hours after symptoms stop.",
R-FSA-007,FSA-01,5.1,Recommended,N,FBA,,Low,D60,Food Safety,None,,"Associates should complete the Coffee & Tea Service Fundamentals course within 60 days.",
R-IRD-001,IRD-01,1.1,Must Complete,Y,FBA,Assigned to In-Room Dining,High,W1,In-Room Dining,Quiz,R-FSA-001,"Employees assigned to In-Room Dining must complete In-Room Dining Service training before their first room-service shift.",COND
R-IRD-002,IRD-01,2.1,Must Know,Y,FBA,Assigned to In-Room Dining,High,W1,In-Room Dining,Quiz,R-IRD-001,"Room-service orders may only be accepted during the operating hours listed for the property in Annex A; orders outside these hours must be referred to the Duty Manager.",M03
R-IRD-003,IRD-01,2.4,Must Know,Y,FBA,Assigned to In-Room Dining,High,W1,In-Room Dining,Scenario,R-IRD-001,"Before delivery, the associate must confirm the guest's name against the room number in the PMS and must not announce the room number aloud in public areas.",
R-IRD-004,IRD-01,3.2,Must Know,Y,FBA,Assigned to In-Room Dining,Medium,W2,In-Room Dining,Quiz,R-IRD-001,"Trays and trolleys placed in corridors must be collected within 60 minutes of the guest placing them outside the room.",
R-IRD-005,IRD-01,4.1,Must Demonstrate,Y,FBA,Assigned to In-Room Dining,Medium,D30,In-Room Dining,Scenario,R-IRD-001;R-IRD-003,"In-Room Dining associates must demonstrate the knock, announce and wait-for-invitation entry procedure during a role-play assessment.",
R-FO1-001,SOP-FO-01,2.1,Must Demonstrate,Y,FOA,,High,W1,Front Office Operations,Practical,R-GDP-003;R-ISP-003,"At check-in, the associate must verify the guest's identity against a valid passport or national ID and scan it into the PMS.",P1
R-FO1-002,SOP-FO-01,2.4,Must Know,Y,FOA;DMG,,High,W1,Front Office Operations,Quiz,,"Early check-in up to 2 hours before the standard 15:00 check-in time is free of charge, subject to availability; earlier arrivals are charged 50% of the nightly rate.",V05;HP06
R-FO1-003,SOP-FO-01,3.1,Must Know,Y,FOA;DMG,,High,W1,Front Office Operations,Quiz,,"Standard check-out time is 12:00; late check-out is charged at 50% of the nightly rate until 18:00 and a full night thereafter.",V05
R-FO1-004,SOP-FO-01,3.3,Must Know,Y,FOA,,Medium,W2,Front Office Operations,Quiz,R-FO1-003,"Late check-out fees may only be waived in line with REV-01 Section 3.4.",XREF
R-FO1-005,SOP-FO-01,4.2,Must Demonstrate,Y,FOA,,High,W2,Front Office Operations,Practical,R-PCH-003,"Associates must settle the guest folio, obtain the guest's agreement to all charges and close the payment on the terminal before issuing the final invoice.",
R-FO1-006,SOP-FO-01,5.2,Must Know,Y,FOA;HKS;DMG,,High,W1,Front Office Operations,Scenario,R-FO1-001,"Replacement room keys may only be issued at Front Office after verifying the guest's identity against the PMS record; other departments must not open rooms for guests.",C02
R-FO1-007,SOP-FO-01,6.1,Must Complete,Y,FOA,,High,W2,Front Office Operations,Quiz,R-ISP-001,"Associates must complete the PMS Front Desk certification before working a shift alone.",
R-FO1-008,SOP-FO-01,6.3,Optional,N,FOA,Two or more years of previous front office experience,Low,W1,Front Office Operations,None,,"Associates with two or more years of previous front office experience may take the PMS certification test directly without attending the classroom module.",COND;EXP
R-FO1-009,SOP-FO-01,7.1,Must Know,Y,FOA;DMG,Works at a Residences property,Medium,W2,Front Office Operations,Quiz,R-FO1-001,"At Residences properties, long-stay guests of 30 nights or more must re-verify their identity document every 90 days.",COND;EX02
R-FO2-001,SOP-FO-02,2.1,Must Know,Y,FOA;DMG,Works night shifts (22:00-07:00),Medium,D30,Night Audit,Quiz,R-PCH-005,"The night audit must start at 02:00 and be completed before 05:00.",P2
R-FO2-002,SOP-FO-02,2.3,Must Demonstrate,Y,FOA,Works night shifts (22:00-07:00),High,D30,Night Audit,Practical,R-FO2-001,"Before running the day-end, the auditor must reconcile all cashier Shift Close Forms against the PMS cash report.",P2
R-FO2-003,SOP-FO-02,3.1,Must Know,Y,FOA;DMG,Works night shifts (22:00-07:00),Medium,D30,Night Audit,Quiz,R-FO2-001,"Occupied rooms without a posted room charge must be investigated and reported to the Duty Manager before day-end.",
R-FO2-004,SOP-FO-02,3.4,Must Know,Y,FOA;DMG;FNA,,High,D30,Night Audit,Quiz,R-REV-002,"Rate overrides above 15% of the published rate without an approval code must be listed on the Rate Exception Report for Revenue review.",
R-FO2-005,SOP-FO-02,4.2,Must Complete,Y,FOA,Works night shifts (22:00-07:00),Medium,D30,Night Audit,Checklist,R-FO2-002,"The night audit pack, containing the reports listed in Annex 1, must be saved to the Finance shared folder before 06:00.",M04
R-FO2-006,SOP-FO-02,5.1,Must Know,Y,FNA,,Medium,D30,Finance Operations,Quiz,,"Finance must review the night audit pack and clear all exceptions within one working day.",
R-HK1-001,SOP-HK-01,2.1,Must Know,Y,HKS,,High,W1,Housekeeping Operations,Quiz,,"Check-out rooms must be cleaned to the 42-point standard and inspected by a supervisor before being released as Vacant Clean in the PMS.",
R-HK1-002,SOP-HK-01,2.4,Must Demonstrate,Y,HKS,,High,W2,Housekeeping Operations,Practical,R-HK1-001,"Supervisors must inspect a minimum of 12 rooms per shift using the room inspection app and record all defects.",
R-HK1-003,SOP-HK-01,3.1,Must Know,Y,HKS,,High,W1,Housekeeping Operations,Scenario,,"Rooms displaying Do Not Disturb must not be entered; if the sign remains after 15:00, the supervisor must inform the Duty Manager for a welfare check.",
R-HK1-004,SOP-HK-01,3.3,Must Know,Y,HKS;DMG,,High,W2,Housekeeping Operations,Quiz,R-HK1-003,"A welfare check must be performed by two employees, one of whom is required to be the Duty Manager or a Security officer.",
R-HK1-005,SOP-HK-01,4.2,Must Know,Y,HKS,,Medium,W2,Housekeeping Operations,Quiz,,"Engineering defects found during inspection must be logged in the maintenance system within 30 minutes.",
R-HK1-006,SOP-HK-01,5.1,Recommended,N,HKS,,Low,D60,Housekeeping Operations,None,,"Supervisors should rotate room attendants between floors monthly to balance workload.",
R-HK2-001,SOP-HK-02,2.1,Must Know,Y,HKS;FOA,,Medium,W2,Housekeeping Operations,Quiz,,"All found items must be logged in the Lost & Found register within 1 hour of being found.",OUTDATED
R-HK2-002,SOP-HK-02,2.3,Must Know,Y,HKS;FOA;DMG,,High,W2,Housekeeping Operations,Quiz,R-HK2-001,"Valuables, including cash, jewellery, electronics and documents, must be sealed in a tamper-evident bag and handed to Security in line with the Security SOP.",OUTDATED;M02
R-HK2-003,SOP-HK-02,3.1,Must Know,Y,HKS,,Medium,W2,Housekeeping Operations,Quiz,,"Non-valuable items must be kept for 90 days and valuables for 180 days before disposal or donation.",OUTDATED
R-HK2-004,SOP-HK-02,3.4,Must Know,Y,FOA;GRE,,Medium,W2,Guest Service Recovery,Quiz,,"Items may only be returned after the owner provides a description matching the register and shows photo ID.",OUTDATED
R-HK2-005,SOP-HK-02,4.1,Optional,N,HKS,,Low,D60,Housekeeping Operations,None,,"Properties may donate unclaimed non-valuable items to an approved charity.",OUTDATED
R-EN1-001,SOP-EN-01,1.2,Must Complete,Y,MTT,,High,W1,Engineering Safety,Quiz,R-FLS-001,"Technicians must complete Work Permit and Lockout/Tagout training before carrying out any electrical or mechanical work.",P3
R-EN1-002,SOP-EN-01,2.1,Must Know,Y,MTT,,High,W1,Engineering Safety,Quiz,R-EN1-001,"Electrical work, hot work and work at height require a signed Permit to Work issued by the Chief Engineer or Duty Engineer.",P3
R-EN1-003,SOP-EN-01,2.3,Must Know,Y,MTT,,High,W1,Engineering Safety,Scenario,R-EN1-002,"Electrical work in guest rooms may only be carried out when the room is vacant; if the room is occupied, the guest must be moved or the work rescheduled.",C07
R-EN1-004,SOP-EN-01,3.1,Must Demonstrate,Y,MTT,,High,W2,Engineering Safety,Practical,R-EN1-001;R-EN1-002,"Before starting work, the technician must isolate the energy source, apply a personal lock and tag, and test for zero energy.",P3
R-EN1-005,SOP-EN-01,4.2,Must Know,Y,MTT,Holds a valid hot work certificate,High,D30,Engineering Safety,Quiz,R-EN1-002,"Hot work such as welding, cutting or grinding may only be performed by technicians holding a valid hot work certificate, with a fire watch present for 30 minutes after completion.",COND
R-EN1-006,SOP-EN-01,5.1,Must Know,Y,MTT,,Medium,W2,Engineering Safety,Quiz,,"Guest-room maintenance requests must be acknowledged within 15 minutes and resolved, or the guest updated, within 2 hours.",
R-GR1-001,SOP-GR-01,2.1,Must Know,Y,GRE;FOA;FBA;DMG,,High,W1,Guest Service Recovery,Scenario,,"Complaints must be handled using the CARE model: Calm, Acknowledge, Resolve, Echo back.",P5
R-GR1-002,SOP-GR-01,2.3,Must Know,Y,GRE;FOA;FBA;DMG,,High,W1,Guest Service Recovery,Quiz,R-GR1-001,"Every complaint must be logged in the Guest Incident Log within 30 minutes, including the resolution offered.",
R-GR1-003,SOP-GR-01,3.1,Must Know,Y,GRE;FOA,,High,W1,Guest Service Recovery,Quiz,R-GR1-001,"Guest Relations Executives and Front Office Associates may offer service recovery up to USD 50 per stay; higher amounts require Duty Manager approval.",V06;C04;P5
R-GR1-004,SOP-GR-01,3.2,Must Know,Y,DMG,,High,W1,Guest Service Recovery,Quiz,R-GR1-001,"The Duty Manager may approve service recovery up to USD 300 per stay; above this amount, the Hotel Manager must approve.",
R-GR1-005,SOP-GR-01,4.1,Must Demonstrate,Y,GRE,,High,W2,Guest Service Recovery,Scenario,R-GR1-001;R-GR1-003,"Guest Relations Executives must demonstrate complaint handling in a role-play covering a billing dispute and a room-quality complaint.",P5
R-GR1-006,SOP-GR-01,5.1,Must Know,Y,GRE;DMG,,Medium,W2,Guest Service Recovery,Quiz,,"Complaints involving safety, discrimination or data privacy must be escalated to the Duty Manager immediately, regardless of value.",
R-ESC-001,ESC-01,2.1,Must Know,Y,ALL,,High,D1,Incident Management,Quiz,,"Any injury to a guest or employee must be reported to the Manager on Duty (MOD) within 15 minutes.",C11
R-ESC-002,ESC-01,2.3,Must Know,Y,ALL,,High,W1,Incident Management,Quiz,,"Suspected data breaches must be reported to the Manager on Duty and the IT Service Desk within 1 hour.",V12;DUP03
R-ESC-003,ESC-01,3.1,Must Know,Y,DMG,,High,W1,Incident Management,Scenario,,"The Duty Manager must notify the General Manager within 30 minutes of any Severity 1 incident, meaning death, serious injury, fire, police involvement or a data breach.",
R-ESC-004,ESC-01,3.2,Must Know,Y,DMG,,High,W1,Incident Management,Quiz,R-ESC-003,"The Duty Manager must complete the Incident Report in the incident system before the end of the shift for all Severity 1 and 2 incidents.",
R-ESC-005,ESC-01,4.1,Must Know,Y,ALL,,Medium,W2,Incident Management,Quiz,,"Employees must not speak to the media about any incident and must refer all enquiries to the Communications team.",
R-ESC-006,ESC-01,5.2,Must Complete,Y,DMG,,High,W2,Incident Management,Checklist,R-ESC-003,"Duty Managers must complete Crisis Communication training within their first two weeks.",
R-REV-001,REV-01,2.1,Must Know,Y,RVA;SEE;DMG;FOA,,Medium,W2,Revenue Management,Quiz,,"Only rates loaded in the PMS by Revenue Management may be offered to guests; manual rate creation is prohibited.",P6
R-REV-002,REV-01,2.4,Must Know,Y,FOA;SEE;DMG;RVA,,High,W2,Revenue Management,Quiz,R-REV-001,"Rate overrides above 15% of the published rate require an approval code from the Duty Manager or a Revenue Analyst.",P6
R-REV-003,REV-01,3.4,Must Know,Y,FOA;DMG,,High,W1,Revenue Management,Scenario,,"Late check-out fees may be waived only by the Duty Manager, and the reason for the waiver must be recorded in the PMS.",V07;C01
R-REV-004,REV-01,4.1,Must Demonstrate,Y,RVA,,High,D30,Revenue Management,Practical,R-REV-001,"Revenue Analysts must produce the daily pick-up and pace report by 10:00 each day.",
R-REV-005,REV-01,4.3,Must Know,Y,RVA,,Medium,D30,Revenue Management,Quiz,R-REV-004,"Forecast accuracy must be reviewed weekly, and variances above 5% must be explained at the weekly revenue meeting.",
R-REV-006,REV-01,5.1,Must Demonstrate,Y,RVA;SEE,,Medium,D60,Revenue Management,Practical,R-REV-001;R-REV-002,"Group quotes above 10 rooms per night must be evaluated with the displacement calculator before being offered.",P6
R-SAL-001,SAL-01,2.1,Must Know,Y,SEE,,High,W2,Sales & Events,Quiz,,"All group and event bookings must be recorded in the Sales & Catering system within 24 hours of the enquiry.",
R-SAL-002,SAL-01,3.2,Must Know,Y,SEE,,High,W2,Sales & Events,Quiz,,"Contracts must use the approved Aurelle template; any change to cancellation or payment clauses requires Director of Sales approval.",
R-SAL-003,SAL-01,4.1,Must Know,Y,SEE,,High,W2,Sales & Events,Quiz,R-SAL-002,"Group bookings must be secured with a non-refundable deposit of 30% of the total contract value within 14 days of signature.",C09
R-SAL-004,SAL-01,4.4,Must Know,Y,SEE,,Medium,D30,Sales & Events,Quiz,,"Banquet Event Orders must be issued to all operating departments at least 7 days before the event.",
R-SAL-005,SAL-01,5.1,Must Demonstrate,Y,SEE,,Medium,D60,Sales & Events,Practical,R-SAL-002;R-REV-006,"Sales Executives must demonstrate preparing a complete group proposal, including rate, deposit schedule and cancellation terms.",P6
R-SAL-006,SAL-01,6.2,Recommended,N,SEE,,Low,D90,Sales & Events,None,,"Sales Executives should conduct at least four client site inspections per month once fully onboarded.",
R-FIN-001,FIN-01,2.1,Must Know,Y,FNA;DMG;HKS;MTT,,Medium,W2,Finance Operations,Quiz,,"Purchases above USD 1,000 require an approved Purchase Order before the order is placed with the supplier.",
R-FIN-002,FIN-01,2.4,Must Know,Y,FNA,,High,W2,Finance Operations,Quiz,,"Supplier invoices must be matched to the Purchase Order and the goods received note before payment.",
R-FIN-003,FIN-01,3.1,Must Know,Y,FNA,City ledger account above USD 5000,High,W2,Finance Operations,Quiz,,"City ledger credit above USD 5,000 per account must be approved by the Finance Manager before the account is activated.",COND
R-FIN-004,FIN-01,4.2,Must Know,Y,ALL,,Medium,D30,Finance Operations,Quiz,,"Expense claims must be submitted with original receipts within 30 days of the expense.",
R-FIN-005,FIN-01,5.2,Must Know,Y,FNA;SEE,,High,W2,Finance Operations,Quiz,,"Group deposits of 25% of the contract value must be received before a booking is confirmed as definite.",C09
R-FIN-006,FIN-01,6.1,Must Demonstrate,Y,FNA,,Medium,D30,Finance Operations,Practical,R-PCH-008;R-FIN-002,"Finance Associates must complete a supervised month-end accounts payable close before working independently.",
